pctl,cons60,cons15,mult,gap
0,96.59,100,1.035304,3.410004
0.5,87.82,93.3,1.0624,5.480003
1,86.77,92.7,1.068342,5.93
1.5,86.06,92.33,1.072856,6.270004
2,85.5,91.97,1.075673,6.470001
2.5,85.03,91.72,1.078678,6.690002
3,84.63,91.53,1.081531,6.900002
3.5,84.26,91.32,1.083788,7.059998
4,83.92,91.1,1.085558,7.18
4.5,83.64,90.93,1.087159,7.290001
5,83.37,90.79,1.089001,7.419998
5.5,83.12,90.63,1.090351,7.509995
6,82.89,90.49,1.091688,7.599998
6.5,82.66,90.34,1.092911,7.679993
7,82.45,90.24,1.094482,7.790001
7.5,82.26,90.08,1.095064,7.82
8,82.07,89.97,1.096259,7.900002
8.5,81.88,89.87,1.097582,7.990005
9,81.7,89.72,1.098164,8.020004
9.5,81.53,89.62,1.099227,8.090004
10,81.36,89.53,1.100418,8.169998
10.5,81.19,89.45,1.101737,8.259995
11,81.03,89.31,1.102184,8.279999
11.5,80.88,89.2,1.102868,8.32
12,80.73,89.12,1.103927,8.389999
12.5,80.58,89.01,1.104617,8.43
13,80.45,88.92,1.105283,8.470001
13.5,80.31,88.82,1.105964,8.510002
14,80.17,88.71,1.106524,8.540001
14.5,80.05,88.66,1.107558,8.610001
15,79.91,88.53,1.107871,8.619995
15.5,79.79,88.48,1.108911,8.690002
16,79.67,88.36,1.109075,8.690002
16.5,79.55,88.26,1.109491,8.709999
17,79.43,88.15,1.109782,8.720001
17.5,79.31,88.1,1.110831,8.790001
18,79.19,87.99,1.111125,8.799995
18.5,79.08,87.92,1.111785,8.839996
19,78.96,87.86,1.112715,8.900002
19.5,78.85,87.76,1.112999,8.910004
20,78.75,87.67,1.11327,8.919998
20.5,78.63,87.58,1.113824,8.950005
21,78.52,87.49,1.114238,8.970001
21.5,78.41,87.41,1.114781,9
22,78.3,87.3,1.114943,9
22.5,78.2,87.25,1.115729,9.050003
23,78.09,87.17,1.116276,9.080002
23.5,77.99,87.1,1.11681,9.110001
24,77.89,87.01,1.117088,9.120003
24.5,77.8,86.94,1.117481,9.139999
25,77.7,86.84,1.117632,9.139999
25.5,77.61,86.75,1.117768,9.139999
26,77.5,86.65,1.118065,9.150002
26.5,77.41,86.58,1.11846,9.169998
27,77.31,86.51,1.119001,9.200005
27.5,77.22,86.45,1.119529,9.229996
28,77.12,86.38,1.120073,9.259995
28.5,77.03,86.26,1.119823,9.230003
29,76.93,86.21,1.120629,9.279999
29.5,76.84,86.11,1.12064,9.270004
30,76.75,86.05,1.121173,9.300003
30.5,76.66,85.95,1.121184,9.289993
31,76.57,85.86,1.121327,9.290001
31.5,76.47,85.77,1.121616,9.299995
32,76.38,85.69,1.121891,9.310005
32.5,76.29,85.61,1.122165,9.32
33,76.2,85.57,1.122966,9.370003
33.5,76.11,85.47,1.12298,9.360001
34,76.02,85.38,1.123126,9.360001
34.5,75.93,85.28,1.12314,9.349998
35,75.84,85.21,1.12355,9.370003
35.5,75.76,85.14,1.123812,9.379997
36,75.67,85.08,1.124356,9.410004
36.5,75.57,85.02,1.12505,9.449997
37,75.49,84.92,1.124917,9.43
37.5,75.4,84.8,1.124668,9.400002
38,75.32,84.72,1.124801,9.400002
38.5,75.23,84.65,1.125216,9.419998
39,75.15,84.55,1.125083,9.400002
39.5,75.06,84.5,1.125766,9.440002
40,74.97,84.41,1.125917,9.440002
40.5,74.88,84.33,1.126202,9.450005
41,74.8,84.26,1.126471,9.459999
41.5,74.71,84.16,1.126489,9.450005
42,74.62,84.07,1.126642,9.449997
42.5,74.53,84.01,1.127197,9.480003
43,74.45,83.91,1.127065,9.460007
43.5,74.35,83.82,1.127371,9.470001
44,74.27,83.75,1.127642,9.480003
44.5,74.18,83.68,1.128067,9.5
45,74.09,83.58,1.128088,9.490005
45.5,74.01,83.5,1.128226,9.489998
46,73.93,83.36,1.127553,9.43
46.5,73.83,83.3,1.128268,9.470001
47,73.76,83.22,1.128254,9.459999
47.5,73.66,83.13,1.128564,9.469994
48,73.58,83.07,1.128975,9.489998
48.5,73.48,82.99,1.129423,9.509995
49,73.39,82.87,1.129173,9.480003
49.5,73.3,82.79,1.129468,9.489998
50,73.22,82.69,1.129336,9.470001
50.5,73.13,82.61,1.129632,9.480003
51,73.05,82.5,1.129363,9.449997
51.5,72.96,82.43,1.129797,9.470001
52,72.87,82.35,1.130095,9.479996
52.5,72.78,82.26,1.130256,9.480003
53,72.7,82.17,1.130261,9.470001
53.5,72.6,82.1,1.130854,9.5
54,72.51,82.03,1.131292,9.519997
54.5,72.42,81.9,1.130903,9.480003
55,72.32,81.79,1.130946,9.470001
55.5,72.23,81.7,1.131109,9.469994
56,72.14,81.62,1.131411,9.480003
56.5,72.04,81.52,1.131593,9.479996
57,71.95,81.41,1.13148,9.460007
57.5,71.87,81.31,1.131348,9.439995
58,71.77,81.19,1.131253,9.420006
58.5,71.67,81.14,1.132133,9.470001
59,71.58,81.04,1.13216,9.459999
59.5,71.49,80.93,1.132046,9.440002
60,71.39,80.88,1.132932,9.489998
60.5,71.3,80.7,1.131837,9.399994
61,71.2,80.57,1.131601,9.370003
61.5,71.1,80.5,1.132208,9.400002
62,71,80.39,1.132254,9.389999
62.5,70.9,80.31,1.132722,9.409996
63,70.8,80.22,1.133051,9.419998
63.5,70.7,80.1,1.132956,9.400002
64,70.59,80.01,1.133447,9.420006
64.5,70.5,79.9,1.133333,9.400002
65,70.4,79.78,1.133239,9.379997
65.5,70.29,79.69,1.133732,9.400002
66,70.19,79.59,1.133922,9.399994
66.5,70.08,79.49,1.134275,9.409996
67,69.97,79.37,1.134343,9.400002
67.5,69.87,79.27,1.134535,9.399994
68,69.75,79.08,1.133763,9.330002
68.5,69.65,79.01,1.134386,9.360001
69,69.53,78.92,1.13505,9.389999
69.5,69.42,78.76,1.134543,9.340004
70,69.31,78.65,1.134757,9.340004
70.5,69.19,78.56,1.135424,9.369995
71,69.07,78.42,1.13537,9.349998
71.5,68.95,78.29,1.135461,9.340004
72,68.83,78.16,1.135551,9.330002
72.5,68.71,78.02,1.135497,9.309998
73,68.59,77.87,1.135297,9.280006
73.5,68.46,77.79,1.136284,9.330002
74,68.34,77.65,1.136231,9.310005
74.5,68.21,77.52,1.13649,9.309998
75,68.07,77.34,1.136183,9.269997
75.5,67.94,77.21,1.136444,9.269997
76,67.8,77.08,1.136873,9.279999
76.5,67.67,76.96,1.137284,9.290001
77,67.52,76.78,1.137145,9.260002
77.5,67.37,76.67,1.138044,9.299995
78,67.24,76.52,1.138013,9.279999
78.5,67.09,76.36,1.138173,9.270004
79,66.93,76.26,1.139399,9.330002
79.5,66.78,76.05,1.138814,9.270004
80,66.62,75.85,1.138547,9.229996
80.5,66.46,75.67,1.13858,9.209999
81,66.3,75.53,1.139216,9.229996
81.5,66.13,75.38,1.139876,9.25
82,65.95,75.15,1.1395,9.200005
82.5,65.79,75,1.139991,9.209999
83,65.6,74.84,1.140854,9.239998
83.5,65.42,74.6,1.140324,9.18
84,65.25,74.44,1.140843,9.190002
84.5,65.03,74.18,1.140704,9.150002
85,64.84,73.98,1.140962,9.140007
85.5,64.63,73.73,1.140802,9.100006
86,64.42,73.55,1.141726,9.130005
86.5,64.2,73.36,1.142679,9.160004
87,63.97,73.02,1.141472,9.049995
87.5,63.75,72.79,1.141804,9.040001
88,63.51,72.57,1.142655,9.060001
88.5,63.24,72.29,1.143106,9.049999
89,62.98,72.04,1.143855,9.060001
89.5,62.7,71.72,1.14386,9.02
90,62.41,71.44,1.144688,9.030003
90.5,62.09,71.03,1.143985,8.939999
91,61.78,70.78,1.145678,9
91.5,61.45,70.34,1.14467,8.889996
92,61.08,70,1.146038,8.919998
92.5,60.7,69.6,1.146623,8.899998
93,60.28,69.15,1.147147,8.870003
93.5,59.84,68.66,1.147393,8.820004
94,59.36,68.21,1.14909,8.849998
94.5,58.84,67.56,1.148198,8.719997
95,58.28,67.06,1.150652,8.779999
95.5,57.65,66.35,1.150911,8.699997
96,56.9,65.58,1.152548,8.68
96.5,56.06,64.72,1.154477,8.66
97,55.03,63.67,1.157005,8.639999
97.5,53.77,62.55,1.163288,8.779999
98,52.25,61.03,1.168038,8.779999
98.5,50.23,58.92,1.173004,8.689999
99,47.15,55.74,1.182185,8.59
99.5,41.48,49.49,1.193105,8.010002
100,-0w,0,-0,0w
