diff,pctl
68.19,0.0002536346
63.59,0.0005072692
57.2,0.0007609038
49.8,0.001014538
48.39,0.001268173
48.19,0.001521808
47.79,0.001775442
46.59,0.002029077
45.8,0.002282711
44,0.002536346
43.99,0.003043615
43.8,0.00329725
43.6,0.003550884
43.19,0.003804519
43,0.004058153
42.39,0.004311788
42.2,0.004565423
41.8,0.005326326
41.79,0.005579961
41.59,0.005833595
41.4,0.00608723
41.39,0.006340865
41.2,0.006594499
41.19,0.006848134
41,0.007101768
40.8,0.007609038
40.79,0.007862672
40.6,0.008116307
40.4,0.008623576
40.39,0.00887721
40.2,0.009130845
40.19,0.00938448
40,0.009638114
39.6,0.01014538
39.4,0.01039902
39.2,0.01090629
39,0.01141356
38.8,0.01217446
38.78,0.01242809
38.59,0.013189
38.4,0.01344263
38.39,0.0139499
38.19,0.01420354
37.79,0.01496444
37.6,0.01572534
37.4,0.01597898
37.39,0.01648625
37.2,0.01673988
37.19,0.01699352
37,0.01724715
36.99,0.01775442
36.95,0.01800806
36.58,0.01826169
36.4,0.01902259
36.39,0.01927623
36.2,0.02029077
36,0.0205444
35.99,0.02079804
35.8,0.02130531
35.79,0.02155894
35.6,0.02257348
35.4,0.02282711
35.39,0.02308075
35.2,0.02333438
35.19,0.02358802
35,0.02409529
34.99,0.02460255
34.8,0.02587073
34.6,0.02612436
34.59,0.026378
34.4,0.02663163
34.39,0.02764617
34.2,0.02815344
34,0.02866071
33.99,0.02942161
33.8,0.03043615
33.79,0.03119705
33.6,0.0329725
33.59,0.03424067
33.56,0.0344943
33.4,0.03525521
33.39,0.03550884
33.2,0.03601611
33.19,0.03753792
33,0.03779155
32.99,0.03880609
32.8,0.039567
32.79,0.04058153
32.6,0.04210334
32.59,0.04235698
32.57,0.04261061
32.4,0.04362515
32.39,0.04438605
32.2,0.04489332
32,0.04717603
31.99,0.04819057
31.98,0.04844421
31.8,0.04996601
31.79,0.05021965
31.6,0.05300963
31.59,0.05377053
31.58,0.05402417
31.4,0.05554597
31.39,0.05605324
31.2,0.05732142
31.19,0.05833595
31,0.05985776
30.99,0.06061867
30.8,0.06315501
30.79,0.06391592
30.6,0.06594499
30.59,0.06695953
30.4,0.0682277
30.39,0.06898861
30.38,0.06924224
30.2,0.07101768
30.19,0.07203222
30.18,0.07228586
30,0.07507584
29.99,0.07685128
29.8,0.07913399
29.79,0.08116307
29.6,0.08471395
29.59,0.08648939
29.4,0.08927937
29.39,0.09130845
29.2,0.09359116
29.19,0.09511297
29,0.09764931
28.99,0.1006929
28.8,0.1037365
28.79,0.1060193
28.6,0.1080483
28.59,0.1098238
28.57,0.1100774
28.4,0.1143892
28.39,0.115911
28.2,0.1189546
28.19,0.1202228
28,0.1240273
27.99,0.1245346
27.8,0.1273246
27.79,0.1303682
27.6,0.1339191
27.59,0.1351872
27.55,0.1354409
27.4,0.1389918
27.39,0.1410208
27.38,0.1412745
27.2,0.1455863
27.19,0.1473617
27,0.1519271
26.99,0.1547171
26.98,0.1552244
26.8,0.1585216
26.79,0.1600434
26.78,0.1602971
26.6,0.165877
26.59,0.1676525
26.4,0.1719642
26.39,0.1745006
26.2,0.1783051
26.19,0.1798269
26.18,0.1800806
26,0.184646
25.99,0.1861678
25.8,0.1912405
25.79,0.1932696
25.6,0.2003713
25.59,0.2021468
25.58,0.2024004
25.57,0.202654
25.4,0.2079804
25.39,0.2107703
25.2,0.2176185
25.19,0.2216766
25.18,0.2219303
25,0.2305538
24.99,0.2341047
24.8,0.2414601
24.79,0.2442501
24.6,0.2518591
24.59,0.2546491
24.4,0.2614973
24.39,0.2632727
24.38,0.26378
24.2,0.2731644
24.19,0.2772226
24,0.2871143
23.99,0.2896507
23.98,0.2899043
23.97,0.290158
23.8,0.2995424
23.79,0.303347
23.75,0.3036006
23.6,0.3139996
23.59,0.318565
23.58,0.3190723
23.56,0.3193259
23.4,0.3292177
23.39,0.3332758
23.38,0.3335295
23.37,0.3337831
23.2,0.3464648
23.19,0.3502694
23.08,0.350523
23,0.3629511
22.99,0.3657411
22.8,0.3736037
22.79,0.3774083
22.77,0.3776619
22.6,0.3883145
22.59,0.3938945
22.4,0.4045472
22.39,0.4106344
22.32,0.410888
22.2,0.4238234
22.19,0.4278815
22.18,0.4281352
22,0.4418314
21.99,0.4471578
21.8,0.4595859
21.79,0.4638977
21.78,0.4641513
21.6,0.482413
21.59,0.4869784
21.4,0.5049865
21.39,0.5108201
21.37,0.5110737
21.2,0.5237554
21.19,0.5283208
21,0.5496261
20.99,0.5534307
20.8,0.5742287
20.79,0.5793014
20.76,0.579555
20.6,0.5998458
20.59,0.6066939
20.4,0.6285065
20.39,0.6325647
20.38,0.6328183
20.2,0.6531091
20.19,0.6581817
20.18,0.6584354
20.17,0.658689
20,0.6817698
19.99,0.6868425
19.8,0.7078941
19.79,0.7155032
19.78,0.7157568
19.6,0.7390912
19.59,0.7441639
19.58,0.7444175
19.47,0.7446711
19.4,0.7702882
19.39,0.7791654
19.38,0.7796727
19.2,0.809348
19.19,0.8194933
19.18,0.819747
19.17,0.8200006
19,0.8491686
18.99,0.8585531
18.98,0.8590603
18.83,0.859314
18.8,0.8879747
18.79,0.8948228
18.78,0.8953301
18.66,0.8955837
18.6,0.9242444
18.59,0.9326144
18.54,0.932868
18.4,0.9645723
18.39,0.9719277
18.38,0.9721814
18.33,0.972435
18.2,1.005407
18.19,1.014538
18.18,1.014792
18.16,1.015046
18,1.050808
17.99,1.061714
17.98,1.061968
17.8,1.096462
17.79,1.103818
17.78,1.104325
17.6,1.143131
17.59,1.152008
17.58,1.152516
17.4,1.193351
17.39,1.204511
17.38,1.205018
17.2,1.244585
17.19,1.25473
17.18,1.255238
17,1.299624
16.99,1.310784
16.98,1.311037
16.8,1.361764
16.79,1.374446
16.78,1.374699
16.6,1.428216
16.59,1.441659
16.58,1.442166
16.57,1.44242
16.4,1.497459
16.39,1.508365
16.38,1.508872
16.36,1.509379
16.33,1.509633
16.2,1.561374
16.19,1.574563
16,1.632646
15.99,1.645074
15.98,1.645581
15.8,1.703917
15.79,1.718628
15.78,1.719642
15.6,1.777471
15.59,1.792689
15.58,1.793197
15.4,1.857112
15.39,1.873852
15.38,1.874867
15.37,1.87512
15.2,1.938022
15.19,1.951211
15.18,1.951718
15,2.020199
14.99,2.032881
14.98,2.033896
14.97,2.034149
14.8,2.117342
14.79,2.133574
14.78,2.134842
14.74,2.135096
14.63,2.13535
14.6,2.213469
14.59,2.227673
14.58,2.228687
14.44,2.228941
14.4,2.310611
14.39,2.327097
14.38,2.327605
14.2,2.411558
14.19,2.434385
14.18,2.434638
14,2.52062
13.99,2.539643
13.8,2.636024
13.79,2.653018
13.78,2.653525
13.76,2.653779
13.6,2.762588
13.59,2.7844
13.58,2.784908
13.4,2.885347
13.39,2.905891
13.38,2.906145
13.2,3.011403
13.19,3.032709
13.18,3.033216
13.16,3.03347
13,3.143293
12.99,3.165106
12.98,3.165867
12.8,3.280763
12.79,3.299279
12.6,3.416458
12.59,3.441568
12.58,3.441821
12.41,3.442075
12.4,3.56661
12.39,3.588168
12.38,3.589183
12.2,3.717268
12.19,3.742632
12.18,3.742886
12.11,3.743139
12,3.883906
11.99,3.909777
11.98,3.910031
11.96,3.910284
11.91,3.910538
11.8,4.066777
11.79,4.087829
11.78,4.088336
11.77,4.088589
11.6,4.243307
11.59,4.272982
11.4,4.435308
11.39,4.462193
11.2,4.631114
11.19,4.657745
11.17,4.657999
11,4.842899
10.99,4.874603
10.97,4.874857
10.9,4.87511
10.8,5.053162
10.79,5.081315
10.77,5.081569
10.6,5.285745
10.59,5.317703
10.58,5.317956
10.57,5.31821
10.52,5.318464
10.4,5.528219
10.39,5.564743
10.38,5.564996
10.2,5.783629
10.19,5.812797
10.18,5.813305
10.17,5.813558
10,6.048424
9.99,6.078353
9.98,6.078606
9.97,6.07886
9.84,6.079114
9.8,6.315755
9.79,6.348981
9.73,6.349235
9.6,6.608449
9.59,6.643451
9.58,6.644719
9.57,6.644972
9.55,6.645226
9.4,6.899368
9.39,6.936399
9.38,6.937159
9.2,7.213368
9.19,7.245833
9.18,7.246594
9.16,7.246847
9.14,7.247101
9,7.527874
8.99,7.566934
8.98,7.567441
8.97,7.567695
8.96,7.567949
8.81,7.568202
8.8,7.878397
8.79,7.911116
8.78,7.91137
8.6,8.227399
8.59,8.268995
8.58,8.269502
8.4,8.602778
8.39,8.645642
8.2,8.997433
8.19,9.03421
8.18,9.034718
8.17,9.034971
8,9.414916
7.99,9.457019
7.95,9.457273
7.8,9.830116
7.79,9.877292
7.6,10.28133
7.59,10.32673
7.58,10.32724
7.57,10.32749
7.55,10.32775
7.4,10.74523
7.39,10.78378
7.38,10.78404
7.22,10.78429
7.2,11.21597
7.19,11.25605
7.18,11.2563
7,11.71614
6.99,11.76078
6.98,11.76104
6.8,12.23863
6.79,12.28631
6.78,12.28657
6.76,12.28682
6.61,12.28707
6.6,12.80373
6.59,12.86181
6.53,12.86206
6.4,13.3914
6.39,13.43401
6.2,13.99226
6.19,14.03335
6.01,14.0336
6,14.62229
5.99,14.67276
5.98,14.67301
5.96,14.67327
5.9,14.67352
5.8,15.27337
5.79,15.32435
5.78,15.3246
5.76,15.32486
5.71,15.32511
5.6,15.96148
5.59,16.01702
5.58,16.01753
5.52,16.01778
5.4,16.67723
5.39,16.72745
5.38,16.72771
5.35,16.72796
5.29,16.72822
5.22,16.72847
5.21,16.72872
5.2,17.44778
5.19,17.50307
5.14,17.50332
5,18.23278
4.99,18.28426
4.98,18.28477
4.96,18.28502
4.95,18.28528
4.82,18.28553
4.8,19.05303
4.79,19.10503
4.78,19.10528
4.61,19.10553
4.6,19.91894
4.59,19.97246
4.57,19.97271
4.4,20.82543
4.39,20.87413
4.38,20.87438
4.35,20.87463
4.2,21.78265
4.19,21.83718
4.18,21.83768
4.02,21.83794
4,22.79794
3.99,22.85121
3.98,22.85172
3.8,23.84419
3.79,23.89289
3.78,23.89314
3.72,23.89339
3.6,24.94521
3.59,24.99797
3.57,24.99848
3.56,24.99873
3.4,26.05842
3.39,26.11168
3.37,26.11219
3.2,27.2609
3.19,27.31239
3.18,27.31264
3,28.46896
2.99,28.51588
2.98,28.51614
2.97,28.51664
2.96,28.51715
2.84,28.5174
2.8,29.81322
2.79,29.85862
2.78,29.85888
2.76,29.85913
2.61,29.85938
2.6,31.29191
2.59,31.33884
2.57,31.33934
2.4,32.88677
2.39,32.93521
2.38,32.93547
2.2,34.5638
2.19,34.60971
2.18,34.60996
2.02,34.61021
2,36.24692
1.99,36.28547
1.8,37.80068
1.79,37.8334
1.78,37.83366
1.6,39.71436
1.59,39.7524
1.58,39.75291
1.4,41.95649
1.39,41.99707
1.2,45.272
1.19,45.32171
1,49.71212
0.99,49.77528
0.82,49.77553
0.8,52.66113
0.79,52.6974
0.6,54.66485
0.59,54.68159
0.4,55.87798
0.39,55.88407
0.21,55.88432
0.2,56.83647
0.19,56.83875
0,100
