pctl,diff60,diff15,mult,gap
0,68.19,79.17,1.161021,10.98
0.5,21.4,21.58,1.008411,0.1800003
1,18.2,17.59,0.9664835,-0.6100006
1.5,16.39,15.2,0.9273948,-1.19
2,15,13.6,0.9066667,-1.4
2.5,14,12.8,0.9142857,-1.2
3,13.2,11.99,0.9083333,-1.21
3.5,12.4,11.2,0.9032258,-1.2
4,11.8,10.4,0.8813559,-1.400001
4.5,11.2,,,
5,10.8,9.6,0.8888889,-1.2
5.5,10.4,8.8,0.8461539,-1.599999
6,10,8.79,0.879,-1.21
6.5,9.6,,,
7,9.2,8,0.8695652,-1.2
7.5,9,,,
8,8.6,7.2,0.8372092,-1.400001
8.5,8.4,7.18,0.8547619,-1.22
9,8.19,,,
9.5,7.8,6.4,0.8205128,-1.4
10,7.6,6.39,0.8407895,-1.21
10.5,7.4,,,
11,7.2,,,
11.5,7,5.6,0.8,-1.4
12,6.8,5.59,0.8220588,-1.21
12.5,6.6,,,
13,6.4,,,
13.5,6.2,,,
14,6.19,,,
14.5,6,,,
15,5.8,,,
15.5,5.6,4.8,0.8571429,-0.7999997
16,5.59,4.79,0.8568873,-0.8000002
16.5,5.4,,,
17,5.2,,,
17.5,5.19,,,
18,5,,,
19,4.8,,,
19.5,4.6,,,
20.5,4.4,3.99,0.9068182,-0.4100001
21.5,4.2,,,
22.5,4,,,
23.5,3.8,3.19,0.8394737,-0.6099999
24.5,3.6,,,
26,3.4,,,
27,3.2,1.6,0.5,-1.6
28,3,0.8,0.2666667,-2.2
28.5,2.99,,,
29.5,2.8,,,
31,2.6,,,
32.5,2.4,,,
34.5,2.2,,,
36,2,,,
37.5,1.8,,,
39.5,1.6,,,
41.5,1.4,,,
45,1.2,,,
49.5,1,,,
52.5,0.8,,,
54.5,0.6,,,
55.5,0.4,,,
56.5,0.2,,,
100,0,0,,0
